outbreak_id,disease_name,pathogen_type,publication_date,outbreak_start_date,primary_country,who_region,latitude,longitude,total_cases,confirmed_cases,deaths,case_fatality_rate,r0_min,r0_max,incubation_min,incubation_max,human_to_human,vector_borne,zoonotic,transmission_modes,risk_groups,source_url
2025-DON591,Middle East respiratory syndrome coronavirus (MERS-CoV),Viral,2025-12-24,,Saudi Arabia,EMRO,23.89,45.08,2635,2635,964,0.37,0,0,0,0,True,False,True,direct contact; respiratory droplets; indirect contact,"older adults; individuals with weakened immune systems; those with chronic conditions like diabetes, kidney disease, cancer, or lung disorders",https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON591
2025-DON586,Seasonal influenza,Viral,2025-12-10,,Unknown,Global,,,0,0,0,0,0,0,0,0,True,False,False,respiratory droplets,young children; the elderly; pregnant women; those with underlying conditions; health and care workers,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON586
2025-DON587,Monkeypox,Viral,2025-12-05,,Unknown,Global,,,0,0,0,0,0,0,3,21,True,False,True,direct contact; sexual contact; indirect contact with contaminated materials; close-range inhalation of infectious respiratory particles; vertical transmission,men who have sex with men; people living with immune suppressive conditions; individuals with multiple sexual partners; children; pregnant women; people with weak immune systems,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON587
2025-DON590,Avian Influenza A(H5N5),Viral,2025-12-05,,United States of America,Global,,,71,71,1,0.0141,0,0,0,0,False,False,True,direct contact; exposure to contaminated environments,individuals with occupational risk of exposure,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON590
2025-DON589,Ebola virus disease,Viral,2025-12-01,2025-09-04,Democratic Republic of the Congo,AFRO,-4.04,21.76,64,53,45,0.703,0,0,2,21,True,False,True,direct contact,family members; health and care providers; participants in burial ceremonies,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON589
DON588,Diphtheria,Bacterial,2025-11-21,,Algeria,AFRO,28.03,1.66,0,0,1252,0.06,0,0,2,5,True,False,False,close contact with infectious material from respiratory secretions or from skin lesions,unvaccinated or partially vaccinated individuals; children; young adults,https://www.who.int/emergencies/disease-outbreak-news/item/DON588
2025-DON585,Marburg virus disease,Viral,2025-11-21,,Ethiopia,AFRO,9.15,40.49,0,6,6,0.88,0,0,2,21,True,False,True,direct contact; contaminated surfaces; infected materials,healthcare workers; caregivers; individuals involved in burial practices,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON585
2025-DON584,Rift Valley fever,Viral,2025-11-05,2025-09-20,Mauritania,AFRO,,,404,404,42,0.103955,0,0,0,0,False,True,True,direct contact; vector-borne,livestock breeders; farmers; slaughterhouse workers; veterinarians,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON584
2025-DON581,Chikungunya virus disease,Viral,2025-10-03,,Multiple countries across 6 WHO regions,Global,,,445271,0,155,0.0003,0,0,2,12,False,True,False,vector-borne,Newborns; Older people; People with underlying medical conditions,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON581
2025-DON582,Nipah virus infection,Viral,2025-09-18,,Bangladesh,SEARO,23.68,90.36,347,4,4,0.717,0,0,4,45,True,False,True,"direct contact; food contaminated with saliva, urine, and excreta of infected animals; close contact with an infected person",,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON582
